block-author:0 , block-round: 0 , payload: 1----->0
block-author:1 , block-round: 1 , payload: 3----->0
block-author:2 , block-round: 2 , payload: 2----->0
block-author:3 , block-round: 3 , payload: 4----->0
block-author:0 , block-round: 4 , payload: 8----->0
block-author:1 , block-round: 5 , payload: 16----->0
block-author:2 , block-round: 6 , payload: 21----->0
block-author:3 , block-round: 7 , payload: 0----->0
block-author:0 , block-round: 8 , payload: 39----->0
block-author:1 , block-round: 9 , payload: 58----->0
block-author:2 , block-round: 10 , payload: 14----->0
block-author:3 , block-round: 11 , payload: 62----->0
block-author:0 , block-round: 12 , payload: 68----->0
block-author:1 , block-round: 13 , payload: 10----->0
block-author:2 , block-round: 14 , payload: 47----->0
block-author:3 , block-round: 15 , payload: 78----->0
block-author:0 , block-round: 16 , payload: 50----->0
block-author:1 , block-round: 17 , payload: 66----->0
block-author:2 , block-round: 18 , payload: 85----->0
block-author:3 , block-round: 19 , payload: 77----->0
block-author:0 , block-round: 20 , payload: 72----->0
block-author:1 , block-round: 21 , payload: 37----->0
block-author:2 , block-round: 22 , payload: 80----->0
block-author:3 , block-round: 23 , payload: 35----->0
block-author:0 , block-round: 24 , payload: 52----->0
block-author:1 , block-round: 25 , payload: 27----->0
block-author:2 , block-round: 26 , payload: 23----->0
block-author:3 , block-round: 27 , payload: 94----->0
block-author:0 , block-round: 28 , payload: 88----->0
block-author:1 , block-round: 29 , payload: 67----->0
block-author:2 , block-round: 30 , payload: 59----->0
block-author:3 , block-round: 31 , payload: 28----->0
block-author:0 , block-round: 32 , payload: 49----->0
block-author:1 , block-round: 33 , payload: 36----->0
block-author:2 , block-round: 34 , payload: 34----->0
block-author:3 , block-round: 35 , payload: 99----->0
block-author:0 , block-round: 36 , payload: 98----->0
block-author:1 , block-round: 37 , payload: 90----->0
block-author:2 , block-round: 38 , payload: 24----->0
block-author:3 , block-round: 39 , payload: 53----->0
block-author:0 , block-round: 40 , payload: 82----->0
block-author:1 , block-round: 41 , payload: 71----->0
block-author:2 , block-round: 42 , payload: 15----->0
block-author:3 , block-round: 43 , payload: 29----->0
block-author:0 , block-round: 44 , payload: 13----->0
block-author:1 , block-round: 45 , payload: 11----->0
block-author:2 , block-round: 46 , payload: 63----->0
block-author:3 , block-round: 47 , payload: 74----->0
block-author:0 , block-round: 48 , payload: 56----->0
block-author:1 , block-round: 49 , payload: 57----->0
block-author:2 , block-round: 50 , payload: 84----->0
block-author:3 , block-round: 51 , payload: 97----->0
block-author:0 , block-round: 52 , payload: 70----->0
block-author:1 , block-round: 53 , payload: 64----->0
block-author:2 , block-round: 54 , payload: 81----->0
block-author:3 , block-round: 55 , payload: 25----->0
block-author:0 , block-round: 56 , payload: 42----->0
block-author:1 , block-round: 57 , payload: 5----->0
block-author:2 , block-round: 58 , payload: 7----->0
block-author:3 , block-round: 59 , payload: 20----->0
block-author:0 , block-round: 60 , payload: 43----->0
block-author:1 , block-round: 61 , payload: 87----->0
block-author:2 , block-round: 62 , payload: 46----->0
block-author:3 , block-round: 63 , payload: 83----->0
block-author:0 , block-round: 64 , payload: 93----->0
block-author:1 , block-round: 65 , payload: 9----->0
block-author:2 , block-round: 66 , payload: 65----->0
block-author:3 , block-round: 67 , payload: 44----->0
block-author:0 , block-round: 68 , payload: 89----->0
block-author:1 , block-round: 69 , payload: 30----->0
block-author:2 , block-round: 70 , payload: 96----->0
block-author:3 , block-round: 71 , payload: 33----->0
block-author:0 , block-round: 72 , payload: 92----->0
block-author:1 , block-round: 73 , payload: 61----->0
block-author:2 , block-round: 74 , payload: 6----->0
block-author:3 , block-round: 75 , payload: 79----->0
block-author:0 , block-round: 76 , payload: 19----->0
block-author:1 , block-round: 77 , payload: 48----->0
block-author:2 , block-round: 78 , payload: 38----->0
block-author:3 , block-round: 79 , payload: 76----->0
block-author:0 , block-round: 80 , payload: 45----->0
block-author:1 , block-round: 81 , payload: 18----->0
block-author:2 , block-round: 82 , payload: 22----->0
block-author:3 , block-round: 83 , payload: 41----->0
block-author:0 , block-round: 84 , payload: 75----->0
block-author:1 , block-round: 85 , payload: 54----->0
block-author:2 , block-round: 86 , payload: 51----->0
block-author:3 , block-round: 87 , payload: 91----->0
block-author:0 , block-round: 88 , payload: 26----->0
block-author:1 , block-round: 89 , payload: 32----->0
block-author:2 , block-round: 90 , payload: 86----->0
block-author:3 , block-round: 91 , payload: 17----->0
block-author:0 , block-round: 92 , payload: 55----->0
block-author:1 , block-round: 93 , payload: 31----->0
block-author:2 , block-round: 94 , payload: 12----->0
block-author:3 , block-round: 95 , payload: 40----->0
block-author:0 , block-round: 96 , payload: 69----->0
block-author:1 , block-round: 97 , payload: 60----->0
block-author:2 , block-round: 98 , payload: 73----->0
block-author:3 , block-round: 99 , payload: 95----->0
block-author:0 , block-round: 100 , payload: 1----->1
block-author:1 , block-round: 101 , payload: 3----->1
block-author:2 , block-round: 102 , payload: 4----->1
block-author:3 , block-round: 103 , payload: 8----->1
block-author:0 , block-round: 104 , payload: 2----->1
block-author:1 , block-round: 105 , payload: 16----->1
block-author:2 , block-round: 106 , payload: 21----->1
block-author:3 , block-round: 107 , payload: 0----->1
block-author:0 , block-round: 108 , payload: 39----->1
block-author:1 , block-round: 109 , payload: 58----->1
block-author:2 , block-round: 110 , payload: 14----->1
block-author:3 , block-round: 111 , payload: 62----->1
block-author:0 , block-round: 112 , payload: 68----->1
block-author:1 , block-round: 113 , payload: 10----->1
block-author:2 , block-round: 114 , payload: 50----->1
